obs_id,true_value,meas_value,corr_value,diff(%)
0,-13.9374 -3.50188 0.316214 0.315911,-13.8949 -3.57389 0.397052 0.283789,-13.4153 -3.45033 0.395597 0.283234,-3.74576 -1.47195  25.1042 -10.3436
0,-13.9268 -3.49135 0.316214 0.315911,-13.8543 -3.72171 0.247621 0.419811,-13.7174 -3.63638 0.268718 0.400269,-1.50336  4.15409 -15.0203  26.7032
0,-13.9163 -3.48082 0.316214 0.315911,-13.6018 -3.65268 0.472688 0.328793,-13.6367   -3.643 0.442952 0.339214,-2.00886  4.65938  40.0798  7.37649
0,-13.9057 -3.47029 0.316214 0.315911,-13.6206 -3.50308 0.274693 0.278294,-13.6213 -3.54599 0.299242 0.287195,-2.04549  2.18161 -5.36751  -9.0899
0,-13.8952 -3.45975 0.316214 0.315911,-13.9861 -3.62603  0.36011  0.24184,-13.8611 -3.59623 0.351193 0.248449,-0.245186    3.9447   11.0618  -21.3548
0,-13.8847 -3.44922 0.316214 0.315911,-13.9248 -3.61956 0.270755 0.277839,-13.8998 -3.60898 0.282483 0.273548,0.108777  4.63166 -10.6672 -13.4099
0,-13.8741 -3.43869 0.316214 0.315911,-13.9542 -3.50125 0.211531 0.394504, -13.933 -3.53394 0.221877 0.376866,0.424331  2.76996 -29.8334  19.2951
0,-13.8636 -3.42816 0.316214 0.315911,-13.7016  -2.9753 0.415384 0.431414, -13.776 -3.15724 0.387174 0.423509,-0.631994  -7.90273   22.4402   34.0596
0, -13.853 -3.41763 0.316214 0.315911,-13.6667 -3.31096 0.271275 0.354941, -13.699 -3.25511 0.288194 0.364929,-1.11188 -4.75532 -8.86121  15.5164
0,-13.8425  -3.4071 0.316214 0.315911, -13.918 -3.46859 0.210855 0.354033,-13.8419 -3.39339 0.222116 0.355601,-0.00424391   -0.402367    -29.7578     12.5637
0, -13.832 -3.39657 0.316214 0.315911,-13.6371 -3.46353 0.248788 0.300118,-13.7029 -3.43628 0.244916 0.308205,-0.933255   1.16918  -22.5476  -2.43932
0,-13.8214 -3.38604 0.316214 0.315911,-14.0808 -3.52144 0.318515 0.314378, -13.952 -3.48962  0.30774 0.313468, 0.944544   3.05906  -2.68002 -0.773202
0,-13.8109 -3.37551 0.316214 0.315911,-13.8689 -3.28098  0.21744 0.336155,-13.8933 -3.34701 0.230622 0.332864, 0.596696 -0.844333  -27.0679   5.36644
0,-13.8003 -3.36498 0.316214 0.315911,-13.6842  -3.4026  0.30877  0.44757,-13.7512 -3.38021 0.297388 0.430829,-0.355705  0.452459  -5.95371   36.3766
0,-13.7898 -3.35445 0.316214 0.315911,-13.8381 -3.57732 0.299592 0.376014,-13.8058 -3.50691 0.299261 0.383991,0.116151  4.54502 -5.36134  21.5504
0,-13.7793 -3.34392 0.316214 0.315911,-13.6251 -3.34835 0.221009 0.479214,-13.6822  -3.3968 0.232442 0.465335,-0.704677   1.58132  -26.4922   47.2994
0,-13.7687 -3.33339 0.316214 0.315911,-14.2243 -3.26643 0.281401  0.31784,-14.0409 -3.30493 0.274205 0.339371,  1.97707 -0.853701  -13.2852   7.42605
0,-13.7582 -3.32286 0.316214 0.315911,-13.9617 -3.28544 0.285706 0.349342, -13.985 -3.28815 0.284034 0.347888, 1.64899  -1.0445 -10.1766  10.1222
0,-13.7476 -3.31233 0.316214 0.315911,-13.4442 -3.34814 0.386449  0.34745,-13.6212 -3.32428 0.371558 0.347507,-0.919784  0.360803   17.5019   10.0017
0,-13.7371  -3.3018 0.316214 0.315911,-13.4938 -3.60192 0.255236  0.36563,-13.5323 -3.50549 0.272218 0.362958,-1.49083  6.16901 -13.9133  14.8926
0,-13.7266 -3.29127 0.316214 0.315911,-13.8451 -3.48111 0.205608 0.337255,-13.7379 -3.48524 0.215295 0.341006,0.0826146   5.89363  -31.9147   7.94383
0, -13.716 -3.28074 0.316214 0.315911,-13.6965 -3.42204 0.256308 0.312172,-13.7079 -3.43936 0.250328 0.316384,-0.0593716    4.83498   -20.8361   0.149601
0,-13.7055 -3.27021 0.316214 0.315911,-13.9273 -3.36132 0.236922 0.206344,-13.8514 -3.38398 0.238856 0.222405, 1.06459  3.47895 -24.4639 -29.5987
0,-13.6949 -3.25968 0.316214 0.315911,-13.5234 -3.29963 0.304094 0.399239,  -13.63 -3.32502 0.294607 0.373447,-0.47443  2.00448 -6.83313  18.2127
0,-13.6844 -3.24915 0.316214 0.315911,-13.6671 -2.80776 0.382724 0.350258,-13.6513 -2.97606 0.369863  0.35369,-0.241792   -8.4048    16.966   11.9589
0,-13.6739 -3.23862 0.316214 0.315911,-13.6639 -2.92217 0.277112 0.295715,-13.6557 -2.93629 0.290642 0.304177,-0.132549  -9.33498   -8.0872  -3.71418
0,-13.6633 -3.22808 0.316214 0.315911,-13.6282  -3.1522 0.255306 0.330099,-13.6342 -3.07681 0.260463 0.326295,-0.21294 -4.68616 -17.6308   3.2871
0,-13.6528 -3.21755 0.316214 0.315911,-13.8493  -2.9856 0.220585 0.393609,-13.7748 -3.01228 0.226382 0.383796,0.893603 -6.37985 -28.4088  21.4887
0,-13.6422 -3.20702 0.316214 0.315911,-13.5869 -3.10957 0.438361 0.468137,-13.6467 -3.07275 0.407451 0.455821,0.0325412  -4.18677   28.8529   44.2878
0,-13.6317 -3.19649 0.316214 0.315911,-13.5859 -3.52653 0.266877 0.329361,-13.6019  -3.3704 0.287391 0.347766,-0.218863   5.44043  -9.11522   10.0835
