obs_id,true_value,meas_value,corr_value,diff(%)
0,-13.9374 -3.50188 0.316214 0.315911,-13.9222 -3.53601 0.359318  0.26599,-13.4417 -3.41378 0.357899 0.265456,-3.55636 -2.51582  13.1823 -15.9712
0,-13.9268 -3.49135 0.316214 0.315911,-13.8179 -4.03741 0.185726 0.438341,-13.7111 -3.86144 0.201279 0.422428,-1.54861  10.6004 -36.3473  33.7174
0,-13.9163 -3.48082 0.316214 0.315911,-13.6654 -3.62531 0.435949 0.317445,-13.6763 -3.69455 0.412986 0.327796,-1.72443  6.14041   30.603  3.76209
0,-13.9057 -3.47029 0.316214 0.315911, -13.932 -3.36953 0.333143 0.289215,-13.8478  -3.4684 0.340914 0.293119,-0.416879 -0.054234   7.81097  -7.21481
0,-13.8952 -3.45975 0.316214 0.315911, -13.871  -3.6991 0.378729 0.249753,-13.8599 -3.62361 0.374993 0.253944,-0.253724   4.73602   18.5881  -19.6154
0,-13.8847 -3.44922 0.316214 0.315911,-13.8671 -3.76444 0.279261 0.242939,-13.8614 -3.71747 0.288684 0.243972,-0.167737   7.77708  -8.70609  -22.7718
0,-13.8741 -3.43869 0.316214 0.315911,-13.8609 -3.66869 0.276757 0.385372,-13.8581 -3.68078 0.277929 0.371457,-0.115431   7.03994  -12.1075   17.5829
0,-13.8636 -3.42816 0.316214 0.315911,-13.7262 -2.96876 0.378098 0.424673,-13.7644 -3.18884 0.368272 0.419666,-0.715725  -6.98105   16.4629   32.8432
0, -13.853 -3.41763 0.316214 0.315911, -13.982 -3.29617 0.296477 0.305937,-13.9099 -3.25854 0.303472 0.317099,0.410809  -4.6552 -4.02964  0.37603
0,-13.8425  -3.4071 0.316214 0.315911,-13.7742 -3.37359   0.2384 0.417992,-13.8141 -3.33351 0.244853 0.408011,-0.205409  -2.15989  -22.5675   29.1539
0, -13.832 -3.39657 0.316214 0.315911, -13.865 -3.34726 0.263081 0.324638,-13.8463 -3.33907 0.261266 0.332841,0.103634 -1.69307 -17.3771  5.35918
0,-13.8214 -3.38604 0.316214 0.315911,-13.8279 -3.34572 0.347061 0.306424,-13.8305 -3.34026 0.338613  0.30902,0.065674 -1.35195  7.08341 -2.18133
0,-13.8109 -3.37551 0.316214 0.315911,-13.6045 -3.55679 0.199074 0.302149,-13.6728 -3.48538 0.212892  0.30275,-0.999672     3.255  -32.6748  -4.16615
0,-13.8003 -3.36498 0.316214 0.315911,-13.6522 -3.47315  0.27956  0.52732,-13.6561 -3.47269 0.272997 0.505199,-1.04493  3.20084 -13.6671  59.9182
0,-13.7898 -3.35445 0.316214 0.315911,-13.6079 -3.89107 0.363587 0.350589,-13.6198 -3.75477 0.354676 0.365673,-1.23313  11.9341  12.1632  15.7518
0,-13.7793 -3.34392 0.316214 0.315911,-13.7009 -3.20597 0.236659  0.42769,-13.6722 -3.37467 0.248253 0.421762,-0.77703 0.919509 -21.4922  33.5065
0,-13.7687 -3.33339 0.316214 0.315911,-13.9287 -3.27643 0.224732 0.245693,-13.8454 -3.30383  0.22696 0.263065, 0.556923 -0.886766  -28.2259  -16.7282
0,-13.7582 -3.32286 0.316214 0.315911,-13.7097 -3.24036 0.303816 0.395561,-13.7496 -3.25692 0.296289 0.382528,-0.0620525   -1.98433    -6.3013    21.0873
0,-13.7476 -3.31233 0.316214 0.315911,-13.4089 -2.93448 0.435238 0.393968,-13.5124 -3.03196 0.421662 0.392946, -1.7111 -8.46433  33.3469   24.385
0,-13.7371  -3.3018 0.316214 0.315911,-13.6965 -3.52604 0.244422 0.365126, -13.635 -3.36644 0.261814 0.367696,-0.743211   1.95787  -17.2036   16.3922
0,-13.7266 -3.29127 0.316214 0.315911,-13.7691 -3.50694 0.307002  0.35403,-13.7239  -3.4589 0.302502 0.355325,-0.0192381    5.09312   -4.33633    12.4763
0, -13.716 -3.28074 0.316214 0.315911,-13.6507 -3.62509 0.276388 0.351971,-13.6707 -3.56903 0.278982 0.352242,-0.330142   8.78752  -11.7746   11.5003
0,-13.7055 -3.27021 0.316214 0.315911,-13.6764 -3.13404 0.285691 0.202814,-13.6716  -3.2681 0.285025 0.217676, -0.246826 -0.0643325   -9.86333   -31.0958
0,-13.6949 -3.25968 0.316214 0.315911,-13.7298 -3.11445 0.429756 0.314632,-13.7078 -3.16007 0.415476 0.305131,0.0936966  -3.05566   31.3907  -3.41243
0,-13.6844 -3.24915 0.316214 0.315911,-13.5142 -2.92151 0.416614 0.324807,-13.5708 -2.99335 0.416563 0.322946,-0.83019 -7.87285  31.7343   2.2268
0,-13.6739 -3.23862 0.316214 0.315911,-13.7036 -2.82111 0.292806 0.327303, -13.658 -2.87194 0.304947 0.326928,-0.115943  -11.3219  -3.56318   3.48756
0,-13.6633 -3.22808 0.316214 0.315911,-13.5387 -3.29525 0.260899 0.344366,-13.5733 -3.15841 0.265274 0.342502,-0.658762  -2.15849  -16.1093   8.41728
0,-13.6528 -3.21755 0.316214 0.315911,-13.7079 -3.07555 0.210587 0.275847, -13.663 -3.09839 0.215926 0.282437,0.0749023  -3.70368  -31.7154  -10.5959
0,-13.6422 -3.20702 0.316214 0.315911,-13.5153  -3.0987 0.405333 0.461499,-13.5586 -3.09473 0.386723 0.443857,-0.613139   -3.5014   22.2976   40.5007
0,-13.6317 -3.19649 0.316214 0.315911,-13.7402  -3.5761 0.316347 0.355621,-13.6793 -3.42028 0.323214 0.364146,0.349318    7.001  2.21346  15.2686
