obs_id,true_value,meas_value,corr_value,diff(%)
0,  18.2832    4.2776  0.253887 -0.134092,   18.7421    4.30355 0.00884181 -0.0334764,   16.3993    3.76561 0.00589454 -0.0223176, -10.304 -11.9692 -97.6783 -83.3564
0,  18.2917   4.27314  0.253887 -0.134092,   18.3683    4.08026 -0.0538062 -0.0796873,    17.814    3.98511 -0.0358708 -0.0531249,-2.61138 -6.74035 -114.129 -60.3817
0,  18.3001   4.26867  0.253887 -0.134092,  18.7476   3.68343 -0.204657 0.0885824,  18.4612   3.75687 -0.136438 0.0590549,0.879938 -11.9897  -153.74 -144.041
0,  18.3086   4.26421  0.253887 -0.134092,   18.419   3.99886 0.0974548  0.215726,  18.3911    3.9446 0.0649699  0.143817,0.450455  -7.4952 -74.4099 -207.253
0,   18.317   4.25974  0.253887 -0.134092,  18.3747    3.9989  0.235742 0.0546219,  18.3988   4.02546  0.157161 0.0364146,0.446581 -5.49993 -38.0979 -127.156
0,  18.3255   4.25528  0.253887 -0.134092,   18.8082     3.8722   0.227522 -0.0533074,   18.7333    3.92848   0.151681 -0.0355383, 2.22563 -7.67967 -40.2563  -73.497
0,  18.3339   4.25081  0.253887 -0.134092,   18.4927    4.22497 -0.0599493 -0.0327194,   18.6091    4.12644 -0.0399662 -0.0218129, 1.50098 -2.92574 -115.742 -83.7328
0,  18.3424   4.24635  0.253887 -0.134092,  18.9916   4.10817  0.215618 0.0382406,  18.8662   4.10712  0.143746 0.0254938, 2.85593 -3.27871  -43.382 -119.012
0,  18.3509   4.24188  0.253887 -0.134092,   18.798   4.05331  0.057481 -0.227742,  18.8609   4.07684 0.0383207 -0.151828, 2.77928 -3.89069 -84.9064  13.2268
0,  18.3593   4.23742  0.253887 -0.134092,    18.449    3.78575   0.155318 -0.0594903,   18.5826    3.82707   0.103546 -0.0396602, 1.21609 -9.68375 -59.2158 -70.4231
0,  18.3678   4.23295  0.253887 -0.134092,   18.5012    3.97312 -0.0144272  -0.152755,    18.5561     3.91801 -0.00961814   -0.101836, 1.02533 -7.44014 -103.788 -24.0547
0,  18.3762   4.22849  0.253887 -0.134092,   18.6959    3.85339  -0.187366 -0.0433358,   18.6516    3.84235  -0.124911 -0.0288906, 1.49847 -9.13177 -149.199 -78.4546
0,  18.3847   4.22402  0.253887 -0.134092,  18.7314   3.77405 -0.194407   0.14707,  18.6707   3.78575 -0.129605 0.0980468, 1.55553 -10.3758 -151.048 -173.119
0,  18.3931   4.21955  0.253887 -0.134092,  18.5022    4.2114  -0.11263 -0.113019,   18.5137    4.11419 -0.0750868 -0.0753461,0.655554 -2.49717 -129.575   -43.81
0,  18.4016   4.21509  0.253887 -0.134092,   18.624     4.439 0.0827837  0.242861,   18.569   4.32026 0.0551892  0.161907,0.909665    2.495 -78.2623 -220.744
0,    18.41   4.21062  0.253887 -0.134092,    18.846    4.27725   0.202311 -0.0252112,   18.7802    4.33806   0.134874 -0.0168075,  2.0104  3.02642 -46.8762 -87.4657
0,  18.4185   4.20616  0.253887 -0.134092,   18.5929    4.06102   -0.11677 -0.0852266,   18.6885    4.13824  -0.077847 -0.0568177, 1.46605 -1.61473 -130.662 -57.6277
0,   18.427   4.20169  0.253887 -0.134092,  18.4976   4.18406 -0.052099  0.216046,   18.5311    4.15361 -0.0347327   0.144031,0.565323 -1.14449  -113.68 -207.412
0,  18.4354   4.19723  0.253887 -0.134092,    18.614    3.70867 -0.0819081   0.272513,   18.5791    3.88344 -0.0546054   0.181676,0.779393 -7.47603 -121.508 -235.486
0,  18.4439   4.19276  0.253887 -0.134092,   18.9639    4.15167 -0.0913094  0.0485185,   18.8335    4.12599 -0.0608729  0.0323457, 2.11254 -1.59266 -123.976 -124.122
0,  18.4523    4.1883  0.253887 -0.134092,   18.7019    4.24766 -0.0264662 0.00111281,    18.7229     4.22115  -0.0176441 0.000741872, 1.46641 0.784437  -106.95 -100.553
0,  18.4608   4.18383  0.253887 -0.134092,   18.6636     3.8526 -0.0437097  0.0914377,    18.676    3.96219 -0.0291398  0.0609585, 1.16562 -5.29767 -111.477  -145.46
0,  18.4692   4.17937  0.253887 -0.134092,   18.8114    3.96133 -0.0695316 -0.0940164,   18.7626    3.97967 -0.0463544 -0.0626776, 1.58825  -4.7781 -118.258 -53.2577
0,  18.4777    4.1749  0.253887 -0.134092, 18.6932  4.01443 0.179809 0.347423,    18.7  3.98552 0.119873 0.231616, 1.20313 -4.53636 -52.7849 -272.729
0,  18.4861   4.17044  0.253887 -0.134092,    18.958    3.84568  -0.194235 -0.0287887,    18.917    3.95591   -0.12949 -0.0191925, 2.33073 -5.14407 -151.003  -85.687
0,  18.4946   4.16597  0.253887 -0.134092,   18.722   4.29896 -0.023911  0.262194,   18.7414    4.19147 -0.0159407   0.174796, 1.33468 0.611983 -106.279 -230.355
0,  18.5031   4.16151  0.253887 -0.134092,   18.9307    3.83913 -0.0896522   0.341968,   18.8698    3.99555 -0.0597682   0.227979, 1.98225 -3.98793 -123.541 -270.017
0,  18.5115   4.15704  0.253887 -0.134092,   18.585   4.18738 -0.040114  0.101825,   18.6518    4.19811 -0.0267427  0.0678836,0.757942 0.987812 -110.533 -150.625
0,    18.52   4.15258  0.253887 -0.134092,     18.57    3.59719 -0.0461751  0.0268173,   18.5863    3.79565 -0.0307834  0.0178782, 0.35837 -8.59531 -112.125 -113.333
0,  18.5284   4.14811  0.253887 -0.134092,  18.8787    3.8994 0.0965219 -0.106472,   18.7828    3.87392  0.0643479 -0.0709815,  1.3731 -6.61015 -74.6549  -47.065
